SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE042020,POPESTIMATE2020
162,36,0,51000,0,0,0,A,New York city,New York,8175133,8174930,8190105,8272864,8346715,8396207,8433867,8463157,8468954,8437695,8396614,8342925,8283150,8253213
162,6,0,44000,0,0,0,A,Los Angeles city,California,3792621,3793206,3795206,3818812,3847857,3877721,3904102,3933644,3957520,3975067,3981140,3982885,3976825,3970219
162,17,0,14000,0,0,0,A,Chicago city,Illinois,2695598,2695674,2697480,2708067,2719039,2725575,2726800,2724006,2716297,2710456,2700968,2691497,2683091,2677643
162,48,0,35000,0,0,0,A,Houston city,Texas,2099451,2092919,2097647,2123298,2158700,2196367,2238653,2283616,2306360,2313079,2314478,2315720,2317660,2316120
162,4,0,55000,0,0,0,A,Phoenix city,Arizona,1445632,1446682,1448998,1469770,1499250,1526505,1555485,1583760,1612303,1633704,1655082,1682933,1702991,1708127
162,42,0,60000,0,0,0,A,Philadelphia city,Pennsylvania,1526006,1525999,1528303,1540615,1552087,1558713,1565949,1571679,1576604,1581699,1586422,1584439,1581124,1578487
162,48,0,65000,0,0,0,A,San Antonio city,Texas,1327407,1326819,1332966,1357807,1383810,1409091,1436214,1464839,1488500,1511566,1530829,1547256,1563262,1567118
162,6,0,66000,0,0,0,A,San Diego city,California,1307402,1301927,1305632,1319189,1335155,1352997,1372024,1387567,1400130,1409982,1420070,1420200,1422710,1422420
162,48,0,19000,0,0,0,A,Dallas city,Texas,1197816,1197672,1200360,1218214,1241950,1258580,1278737,1300859,1323587,1342275,1341692,1343192,1344223,1343266
162,6,0,68000,0,0,0,A,San Jose city,California,945942,952354,954552,968925,983532,999599,1014909,1028131,1034851,1037082,1034877,1026528,1018006,1013616
162,48,0,5000,0,0,0,A,Austin city,Texas,790390,801862,806214,828569,854656,875241,901463,921452,939778,951610,962800,978763,991830,995484
162,48,0,27000,0,0,0,A,Fort Worth city,Texas,741206,744800,748419,764124,781032,796050,815021,835305,855947,874297,892615,908491,923509,927720
162,12,0,35000,0,0,0,A,Jacksonville city,Florida,821784,821758,823146,829739,837248,843060,852907,866345,881502,893203,904170,913521,919365,920570
162,39,0,18000,0,0,0,A,Columbus city,Ohio,787033,789007,790942,800677,812872,827994,841931,855276,867384,882253,891448,899908,903335,903852
162,37,0,12000,0,0,0,A,Charlotte city,North Carolina,731424,735580,738446,754943,773506,792408,807875,826270,843989,861170,874187,887928,897754,900350
162,18,0,36003,0,0,0,F,Indianapolis city (balance),Indiana,820445,820443,821576,827721,835605,844868,850369,853983,859371,864110,871557,875694,877830,877903
162,6,0,67000,0,0,0,A,San Francisco city,California,805235,805184,805519,815694,828963,839695,850918,863237,871343,877471,879676,878826,870561,866606
162,53,0,63000,0,0,0,A,Seattle city,Washington,608660,608660,610654,623130,636557,654300,670896,688247,710687,729644,742889,753291,766214,769714
162,8,0,20000,0,0,0,A,Denver city,Colorado,600158,599454,603012,620250,634965,649270,664540,683328,696273,704869,716340,725508,733428,735538
162,11,0,50000,0,0,0,N,Washington city,District of Columbia,601723,601767,605282,620290,635737,651559,663603,677014,687576,697079,704147,708253,712185,712816
162,25,0,7000,0,0,0,A,Boston city,Massachusetts,617594,617779,621053,630620,643180,653312,663260,670982,680218,688239,692048,694661,692800,691531
162,48,0,24000,0,0,0,A,El Paso city,Texas,649121,648079,650482,664141,674588,674362,676664,675561,679001,679978,678552,680028,681700,681534
162,47,0,52006,0,0,0,F,Nashville-Davidson metropolitan government (balance),Tennessee,601222,603465,604644,612689,625824,636375,645741,656089,662344,664220,667772,669725,671253,671295
162,26,0,22000,0,0,0,A,Detroit city,Michigan,713777,713956,711198,705202,700289,691986,682746,679562,677379,675031,673658,670442,666929,665369
162,32,0,40000,0,0,0,A,Las Vegas city,Nevada,583756,584500,584600,586682,593406,599739,608216,617820,626952,635746,644055,653963,660769,662368
162,40,0,55000,0,0,0,A,Oklahoma City city,Oklahoma,579999,580494,582560,591042,601040,612147,621673,632188,640010,642903,648241,655334,660928,662314
162,41,0,59000,0,0,0,A,Portland city,Oregon,583776,583810,585476,595610,604521,610254,620975,631945,643065,648176,651154,654378,656445,656751
162,47,0,48000,0,0,0,A,Memphis city,Tennessee,646889,651874,652349,655434,658961,657386,655299,654469,653026,651398,651700,650998,650418,649705
162,21,0,48006,0,0,0,F,Louisville/Jefferson County metro government (balance),Kentucky,597337,595730,596518,600002,604389,610672,612890,615679,617838,620183,618997,618490,618684,618338
162,55,0,53000,0,0,0,A,Milwaukee city,Wisconsin,594833,594503,594883,597132,598627,599997,600775,600607,597179,594154,591961,590952,589839,589067
162,24,0,4000,0,0,0,A,Baltimore city,Maryland,620961,620777,620942,620493,623035,622591,623833,622831,616542,610853,603241,594601,588649,586131
162,35,0,2000,0,0,0,A,Albuquerque city,New Mexico,545852,546121,546747,552105,555074,557547,557566,558086,559350,559796,559677,560786,562497,562540
162,4,0,77000,0,0,0,A,Tucson city,Arizona,520116,526510,527048,530646,531845,532947,534826,535684,537596,541628,545345,548961,552862,553571
162,6,0,27000,0,0,0,A,Fresno city,California,494665,497059,497763,501623,505554,508993,514052,517408,520305,523938,526621,529373,530485,530267
162,4,0,46000,0,0,0,A,Mesa city,Arizona,439041,439941,440833,447525,456811,464661,473032,481721,490617,499957,507965,518497,526188,528159
162,6,0,64000,0,0,0,A,Sacramento city,California,466488,466369,467246,470788,473430,476645,481284,486741,492284,498386,504185,509748,512467,512838
162,13,0,4000,0,0,0,A,Atlanta city,Georgia,420003,427042,429414,437863,449118,454148,461358,468573,479590,492121,498772,507301,511568,512550
162,29,0,38000,0,0,0,A,Kansas City city,Missouri,459787,459883,460690,462416,464689,467367,470860,475368,482013,488797,492755,496299,497186,497159
162,8,0,16000,0,0,0,A,Colorado Springs city,Colorado,416427,417450,420726,427587,433060,438540,442628,449963,459213,465920,473175,478035,481280,482131
162,31,0,37000,0,0,0,A,Omaha city,Nebraska,408958,458992,459681,462181,465386,468249,470620,472880,475274,476579,477404,477766,478525,478393
162,37,0,55000,0,0,0,A,Raleigh city,North Carolina,403892,404118,406412,414071,423456,431587,439759,449852,459796,466177,469784,474255,474556,474414
162,12,0,45000,0,0,0,A,Miami city,Florida,399457,399500,400798,406607,411149,415666,425097,434703,448789,455925,461962,467103,470819,471525
162,6,0,43000,0,0,0,A,Long Beach city,California,462257,462189,462311,464274,466526,468017,468785,469408,468484,466265,462632,458487,456034,454681
162,51,0,82000,0,0,0,A,Virginia Beach city,Virginia,437994,437885,438864,442654,445189,447922,449139,450635,451510,450417,450488,450766,451340,451231
162,27,0,43000,0,0,0,A,Minneapolis city,Minnesota,382578,382603,383078,388096,392837,400189,407206,411210,415315,421177,424310,428821,432324,433111
162,6,0,53000,0,0,0,A,Oakland city,California,390724,390781,391350,395416,400720,406609,412677,418539,421454,421938,421837,422738,424733,424891
162,12,0,71000,0,0,0,A,Tampa city,Florida,335709,336249,337156,342726,348253,355369,362895,371732,380843,391750,398281,401002,406194,407599
162,40,0,75000,0,0,0,A,Tulsa city,Oklahoma,391906,391873,392289,392937,394616,398419,399945,403576,404086,402177,400748,401392,402910,403166
162,48,0,4000,0,0,0,A,Arlington city,Texas,365438,365125,365920,370284,375667,378986,382751,388750,394323,396993,397903,398930,399110,398864
162,20,0,79000,0,0,0,A,Wichita city,Kansas,382368,382424,382740,383791,385794,387278,388500,389520,390691,390438,389527,390335,391575,391731
162,22,0,55000,0,0,0,A,New Orleans city,Louisiana,343829,343828,347789,360822,369947,378863,384228,390094,392265,391819,391506,391172,390153,389476
162,8,0,4000,0,0,0,A,Aurora city,Colorado,325078,324976,327884,334946,341732,349396,356076,364655,369952,373773,380645,385623,387165,387377
162,6,0,3526,0,0,0,A,Bakersfield city,California,347483,347783,348760,352430,357002,362066,366673,370871,374084,377170,379915,382682,385406,385725
162,39,0,16000,0,0,0,A,Cleveland city,Ohio,396815,396831,396095,392862,391767,392040,391129,389524,387885,385490,383408,381386,379532,378589
162,6,0,2000,0,0,0,A,Anaheim city,California,336265,336332,337860,343357,345963,347853,349119,350578,351979,352710,353043,354006,354092,353676
162,15,0,71550,0,0,0,S,Urban Honolulu CDP,Hawaii,337256,337721,339134,343119,346949,349390,349764,351813,352021,349990,347385,344986,342796,341555
162,6,0,69000,0,0,0,A,Santa Ana city,California,324528,324778,325069,327731,329764,331791,333293,334523,334385,333905,332624,330910,331485,331301
162,6,0,62000,0,0,0,A,Riverside city,California,303871,303905,305417,308997,311572,314180,316834,320108,323016,326067,328306,329785,330745,330786
162,32,0,31900,0,0,0,A,Henderson city,Nevada,257729,256995,257453,258776,263325,268346,274354,282311,289660,299528,309906,321545,327500,329172
162,48,0,17000,0,0,0,A,Corpus Christi city,Texas,305215,305202,305254,308090,312388,317052,320787,324710,325851,325615,326406,326570,327301,327248
162,21,0,46027,0,0,0,A,Lexington-Fayette urban county,Kentucky,295803,295875,296868,301766,306062,310025,311992,316079,318190,321554,322597,323922,324708,324735
162,6,0,75000,0,0,0,A,Stockton city,California,291707,292348,292984,295618,297463,297806,301281,304799,307650,310459,311731,313091,313107,312716
162,27,0,58000,0,0,0,A,St. Paul city,Minnesota,285068,285103,285504,288894,291333,295133,297755,300034,303023,304936,306974,307707,307184,306717
162,39,0,15000,0,0,0,A,Cincinnati city,Ohio,296943,297098,297061,296292,297031,298058,298809,299649,299978,301852,302501,304445,304631,304548
162,42,0,61000,0,0,0,A,Pittsburgh city,Pennsylvania,305704,305306,305351,306117,306455,307006,306080,304224,304789,301606,300669,300056,299611,299226
162,37,0,28000,0,0,0,A,Greensboro city,North Carolina,269666,268936,269602,272467,276098,279320,282359,284735,289323,291741,294866,296908,297816,297878
162,29,0,65000,0,0,0,A,St. Louis city,Missouri,319294,319308,319367,319417,319534,318624,317599,316268,312926,308424,303661,300887,298587,297645
162,48,0,58016,0,0,0,A,Plano city,Texas,259841,259860,261240,267065,272382,274781,278324,284002,287621,288155,289410,287803,290609,291296
162,31,0,28000,0,0,0,A,Lincoln city,Nebraska,258379,258791,259464,262731,265933,269236,274264,277519,281565,284634,286789,288479,290131,290505
162,12,0,53000,0,0,0,A,Orlando city,Florida,238300,238723,239219,243531,249867,255090,262444,270785,278667,282074,286233,287730,289197,289457
162,2,0,3000,0,0,0,A,Anchorage municipality,Alaska,291826,292252,293760,296693,298806,301801,300647,298337,298072,295118,291377,288790,287706,287095
162,37,0,19000,0,0,0,A,Durham city,North Carolina,228330,230740,231586,236237,242062,247967,254304,259696,266595,270967,275829,281049,284931,285897
162,6,0,36770,0,0,0,A,Irvine city,California,212375,212125,214371,220760,227858,237032,245495,252146,258652,267652,274370,279059,282787,283700
162,34,0,51000,0,0,0,A,Newark city,New Jersey,277140,276941,276989,277410,277423,277941,278765,279484,280612,281340,282223,282903,282829,282520
162,6,0,13392,0,0,0,A,Chula Vista city,California,243916,243912,244744,248483,252854,257267,260705,262864,264780,266627,268698,270832,272605,272979
162,18,0,25000,0,0,0,A,Fort Wayne city,Indiana,253691,253703,254134,256286,257632,259357,260619,262185,263573,265163,267438,270187,272002,272398
162,39,0,77000,0,0,0,A,Toledo city,Ohio,287208,287357,287077,285457,283245,282424,280809,280017,279041,276853,275095,273101,272024,271455
162,12,0,63000,0,0,0,A,St. Petersburg city,Florida,244769,245173,245220,245900,246712,248544,252347,255200,259443,262737,264547,265463,267400,267802
162,4,0,12000,0,0,0,A,Chandler city,Arizona,236123,236158,236459,236836,237663,239890,240888,243679,247845,253599,257184,261161,264345,265398
162,48,0,41464,0,0,0,A,Laredo city,Texas,236091,235781,236801,241138,245620,249450,252522,254994,257600,258999,260453,262200,263481,263640
162,55,0,48000,0,0,0,A,Madison city,Wisconsin,233209,233413,233977,237198,240205,243596,246233,249210,253135,256227,258314,260337,262601,263094
162,34,0,36000,0,0,0,A,Jersey City city,New Jersey,247597,247608,248324,252886,256083,257142,258663,260214,260463,263311,264041,262729,262926,262664
162,4,0,65000,0,0,0,A,Scottsdale city,Arizona,217385,217486,217627,220808,225184,228885,233951,241079,247963,251424,254565,258443,261825,262647
162,48,0,45000,0,0,0,A,Lubbock city,Texas,229573,229944,231108,233965,236426,239800,244469,248081,251567,254654,256845,259344,261948,262611
162,32,0,51800,0,0,0,A,North Las Vegas city,Nevada,216961,216670,216844,218323,221908,225419,228780,232673,236683,240702,245688,253039,258504,260098
162,32,0,60600,0,0,0,A,Reno city,Nevada,225221,225325,225668,227103,228994,231081,234209,238169,242281,246733,250261,256058,258628,259290
162,4,0,27400,0,0,0,A,Gilbert town,Arizona,208453,208439,209471,211449,215902,221615,227305,232401,237139,242696,249914,254109,256776,257658
162,4,0,27820,0,0,0,A,Glendale city,Arizona,226721,226134,226194,229263,233548,236833,239926,243075,245881,247762,249970,252626,254923,255307
162,36,0,11000,0,0,0,A,Buffalo city,New York,261310,261346,261280,260721,260183,260058,259604,258232,256911,256407,255876,255317,254836,254479
162,37,0,75000,0,0,0,A,Winston-Salem city,North Carolina,229617,229624,230024,231879,233892,235777,238547,239845,241880,244529,246509,247775,248181,248112
162,51,0,16000,0,0,0,A,Chesapeake city,Virginia,222209,222268,223525,225360,228134,230415,233477,235253,237656,240416,242748,245403,246720,247011
162,51,0,57000,0,0,0,A,Norfolk city,Virginia,242803,242840,243019,243701,246247,245598,246756,246667,246042,244908,244168,243581,243089,242803
162,48,0,37000,0,0,0,A,Irving city,Texas,216290,216285,216858,219843,225713,228893,232513,237110,239829,240563,241394,239674,240777,240916
162,48,0,29000,0,0,0,A,Garland city,Texas,226876,226857,227292,229983,233606,234547,235457,237011,236181,238216,241616,239782,238711,238139
162,6,0,26000,0,0,0,A,Fremont city,California,214089,214065,214514,217267,220638,224547,228559,231877,233889,234904,235473,235337,235027,234569
162,51,0,67000,0,0,0,A,Richmond city,Virginia,204214,204440,204375,206487,210922,214020,217238,221084,225669,227620,229621,231027,232056,232226
162,12,0,30000,0,0,0,A,Hialeah city,Florida,224669,224697,225463,228117,230428,232294,232821,233838,234070,235939,234480,232853,232409,232027
162,16,0,8830,0,0,0,A,Boise City city,Idaho,205671,209382,209586,212685,215722,217457,219602,221060,224839,227882,228608,229142,229696,229776
162,53,0,67000,0,0,0,A,Spokane city,Washington,208916,209459,209537,209079,209371,210131,211218,212695,215298,217439,219268,221804,222039,222050
162,53,0,70000,0,0,0,A,Tacoma city,Washington,198397,198338,198324,199635,201687,202295,203929,207010,210610,213776,216495,218098,219618,219945
162,22,0,5000,0,0,0,B,Baton Rouge city,Louisiana,229493,229279,229239,228527,228805,228284,227815,227191,226712,224441,222379,220787,219630,219052
162,6,0,65000,0,0,0,A,San Bernardino city,California,209924,210309,210484,211791,212807,213377,213969,215095,216188,216818,216869,216737,217459,217491
162,6,0,24680,0,0,0,A,Fontana city,California,196069,196457,197216,199771,201090,202195,203723,205637,208410,211049,213232,214632,215907,216173
162,6,0,48354,0,0,0,A,Modesto city,California,201165,203057,203278,204119,205090,206221,207881,209412,211423,213176,214396,215001,215650,215666
162,6,0,49270,0,0,0,A,Moreno Valley city,California,193365,193330,194168,196464,198201,199526,201013,202536,204308,206724,209221,211010,212145,212349
162,19,0,21000,0,0,0,A,Des Moines city,Iowa,203433,204216,205042,207967,210327,212142,214513,215445,216582,217057,216304,214877,213110,212312
162,37,0,22920,0,0,0,A,Fayetteville city,North Carolina,200564,200565,208354,208808,208974,211216,210261,209829,211398,209518,211391,212093,211917,211705
162,6,0,69088,0,0,0,A,Santa Clarita city,California,176320,208778,208802,209836,210892,211891,212787,213621,213962,213855,213116,211696,210594,209990
162,48,0,27684,0,0,0,A,Frisco city,Texas,116989,117159,118191,123521,128462,136831,145021,154466,164365,177961,188810,200907,207840,209980
162,12,0,58715,0,0,0,A,Port St. Lucie city,Florida,164603,164200,164860,166316,167948,169479,172757,177798,183634,189131,194740,201699,207847,209715
162,48,0,45744,0,0,0,A,McKinney city,Texas,131117,131154,132940,137946,143541,149251,157203,163682,173801,182386,192205,199447,206202,208272
162,6,0,54652,0,0,0,A,Oxnard city,California,197899,198066,198541,199848,200586,202183,204501,206326,207077,207486,207670,208199,208153,207945
162,1,0,7000,0,0,0,A,Birmingham city,Alabama,212237,212013,211763,211554,210775,211270,211179,211811,211512,211125,210083,208889,207553,206950
162,36,0,63000,0,0,0,A,Rochester city,New York,210565,210645,210190,210481,210337,210196,209364,208610,207737,206602,206302,205859,205504,205225
162,49,0,67000,0,0,0,A,Salt Lake City city,Utah,186440,186430,186646,188280,190216,192170,191898,192235,194797,201041,200492,200239,203153,204087
162,1,0,37000,0,0,0,A,Huntsville city,Alabama,180105,180370,180926,182327,183768,186047,187899,190424,192524,195554,198298,200001,202311,202964
162,12,0,10275,0,0,0,A,Cape Coral city,Florida,154305,154307,154736,157364,160618,164425,168483,173719,178736,183996,189642,194933,199621,200972
162,4,0,73000,0,0,0,A,Tempe city,Arizona,161719,161772,162317,164473,168545,170742,175640,179122,184887,185560,191537,195656,199379,200402
162,36,0,84000,0,0,0,A,Yonkers city,New York,195976,196129,196510,197689,198156,198868,199464,199763,200188,200015,200105,200624,200325,200040